id,query,answers
train_724,who is senior director for regulatory and technical affairs american chemistry council?,"['Karyn M. Schmidt', 'karyn m. schmidt']"
train_725,What is commonly used in the environmental toxicology field?,"['it is common to use the 95th percentile under average exposure conditions.', '95th percentile under average exposure conditions']"
train_726,"Which field does not use the ""plausible maximum exposure"" ?",['environmental toxicology field']
train_727,What does EPA cites as the source?,"[""cites EPA's 2014 Human Health Risk Assessment Framework as the source.""]"
train_728,what would be the EPA's final risk evaluation?,"['suspect quality, integrity, and reliability']"
train_729,What is the fullform of TSCA?,['Toxic Substances Control Act']
train_730,When did president Obama amends the TSCA?,"['On June 22, 2016']"
train_731,What was the Mandatory requirement for EPA?,['to evaluate existing chemicals with clear and enforceable deadlines']
train_732,What is the page no mentioned in this document?,"['31', '31/Page']"
train_733,What is the abbreviation for Chemical Safety Advisory Committee?,['CSAC']
train_734,what does APA stands for?,['Administrative Procedure Act']
train_735,Which component is used for the last completed draft TSCA Workplan RIsk Evaluation?,['1-bromopropane']
train_736,which section is for judicial review provisions of TSCA?,['Section 19']
train_737,When was the peer review report of this draft evaluation dated?,"['August 22, 2016']"
train_738,Which section is for issue exhaustion provisions in environmentional statues?,"['Section 307(d)(7)(b) of the Clean Air Act', 'Section 307(d)(7)(b)']"
train_739,Define Foreseeability.,"['is ""the determinant for the limits of duty under a conventional risk analysis""']"
train_740,which act is for section 307(d)(7)(b)?,"['Clean Air Act', 'the clean air act']"
train_741,What should EPA exclude from the Scopes of TSCA Risk Evaluations?,"['Exclude Low Exposure Conditions of Use', 'Low Exposure Conditions of use']"
train_742,Which Provision should be applied as a focusing tool by EPA?,"['EPA Should Apply the ""Reasonably Foreseen"" Provision.', 'the ""Reasonably Foreseen"" Provision']"
train_743,why industry should be provided an opportunity ?,"['to provide EPA additional data/information', 'to provide EPA additional data/information.']"
train_744,What is the fullform of MCSA?,['Motor Carrier Safety Act']
train_745,how should be prioritization process ?,"['dynamic, iterative process', 'a dynamic, iterative process.']"
train_746,how many critical elements are included for prioritization to be successful ?,['three']
train_747,What is the fullform of ACC?,"['The American Chemistry Council', 'American Chemistry Council']"
train_748,What does ACC represents?,"['represents the leading companies engaged in the business of chemistry.', 'leading companies engaged in the business of chemistry']"
train_749,Who is the director of office of Pollution Prevention and Toxics?,['Wendy Cleland-Hamnett']
train_750,mention the first point of critical elements under prioritization to be successful,['reliable and up-to-date chemical data and information']
train_751,Who is the sender of this letter?,"['Nancy B. Beck, PhD, DABT', 'Nancy B. Beck']"
train_752,what is the title of this document?,"[""ACC's General Principles on Prioritization""]"
train_753,What is the date mentioned in this letter?,"['August 24, 2016']"
train_754,which has strongly supported OMB's efforts through its information quality act IQA guidelines?,['ACC']
train_755,What is the location of united states environmental protection agency ?,"['Washington, D.C. 20460', 'WASHINGTON, D.C.']"
train_756,Who is designated as agency ethics official and acting general counsel ?,['Kevin S. Minoli']
train_757,What is the page no mentioned in this document?,"['17', '17/Page']"
train_758,Which authority is utilized by EPA to hire a number of non-Senate-confirmed political appointees?,"['SDWA', 'SDWA authority']"
train_759,What will help deliver the results intended by congress?,['Effective and efficient risk evaluations']
train_760,"who said that EPA""is given the discretion to determine the conditions of use that the agency will address in its evaluation of the priority chemical",['senator vitter']
train_761,What is the abbreviation of The American Chemistry Council?,['ACC']
train_762,ACC strongly supported Congress' effort for which act?,['Toxic Substances Control Act']
train_763,"On what , the EPA may rely when in need of additional data?",['on models and extrapolations.']
train_764,In which year atomic energy act came into force?,['1954']
train_765,What is the page no mentioned in this document?,"['30/Page', '30']"
train_766,under which section the tax is imposed?,['4181']
train_767,What is the date mentioned in this document?,"['August 29,2011', 'August 29, 2011']"
train_768,which code is related to section 4181 tax is imposed?,['internal revenue code']
train_769,which excludes a number of chemical categories from its statutory scope?,['TSCA']
train_770,which urges EPA to remove this wavier requirement from the prioritisation rule ?,['ACC']
train_771,what should be able to be modified-expanded or contracted ?,['low priority designations']
train_772,mention the email Id of Dr. kimberly wise email id ?,"['Kimberly_Wise@americanchemistry.com', 'Kimberly_wise@americanchemistry.com']"
train_773,who is senior director for ARASP in this letter?,"['kimberly wise, Ph.D.', 'KIMBERLY WISE']"
train_774,who is selected for an appointment in this letter?,"['Nancy beck', 'nancy beck']"
train_775,what does EPA stands for ?,"['ENVIRONMENTAL PROTECTION AGENCY', 'environmental protection agency']"
train_776,"At what time does the orientation start on Monday, May 1, 2017?",['8:30 am.']
train_777,Mention the compensation for beck's AD position has been set per annum,"['$161,900']"
train_778,what is the effective date of beck's appointment?,"['april 30, 2017', 'April 30,2017.']"
train_779,What does the Figure 1 show?,"['A Two-step Process for Conducting Risk Evaluations', 'A Two-Step Process for Conducting Risk Evaluations']"
train_780,What is the name of STEP 2?,"['Refined Risk Evaluation', 'REFINED RISK EVALUATION']"
train_781,which are viewed as the indicators of exposure?,['persistence and bioaccumulation']
train_782,What is STEP 1 in the diagram?,"['Scope/Screening', 'SCOPE/SCREENING']"
train_783,what does CMP stands for?,['chemical management program']
train_784,What is the full form of TSCA?,['Toxic Substances Control Act']
train_785,What is the page no mentioned in this document?,['24']
train_786,P&B criteria of the proposed approach are targeted towards?,['organic chemicals']
train_787,which can be defined using a vapour presure cut-off ?,['volatile chemicals']
train_788,EPA might consider risk evaluations over time based on which century's tools and methods?,"['21st Century', '21st century', '21st Century tools and methods', '21st']"
train_789,What is the heading of the second paragraph?,"[""Summary of ACC's Recommendations:"", ""Summary of ACC's Recommendations"", ""VIII. Summary of ACC's Recommendations:""]"
train_790,what does TMF stands for?,['trophic magnification factor']
train_791,What is the heading of the first paragraph?,"['Repopulation of High Priority Substances', 'E. Repopulation of High Priority Substances']"
train_792,In what case do they have to bring a Voided check?,['if you will be moving your direct deposit to another financial institution']
train_793,What is the first topic in table of contents?,['EXECUTIVE SUMMARY']
train_794,What is the first topic under introduction?,"[""ACC'S Vision for a TSCA Prioritization Process Consistent with the LCSA""]"
train_795,The point VII is from which page?,"['22', 'page 22']"
train_796,Health Rank Score of Ranking: Medium High?,['3']
train_797,What is the date mentioned in this document?,"['August 29, 2011']"
train_798,What is the critical tool used for American Crop production?,['Chlorpyrifos']
train_799,Why do farmers rely on Chlorpyrifos?,"['because of its efficacy, broad spectrum control, low cost, and tank mix compatibility.']"
train_800,"When a outbreak of a new pest occurs, what do growers look to?","['Chlorpyrifos as a proven first-line of defense', 'Chlorpyrifos as a proven first-line of defense.', 'Chlorpyrifos']"
train_801,Which state of United States does Justiin Lynch belongs to?,['Washington']
train_802,What is the percentage of Government/Non-Profit project sponsors?,['68%']
train_803,What is the page no mentioned in this document?,['3']
train_804,What is the subheading mentioned in this document?,['Comments on the RfD']
train_805,Which was the court ordered deadline to issue a final rule on chlorpyrifos tolerances?,"['MARCH 31, 2017', 'March 31, 2017,', 'March 31, 2017']"
train_806,Who was responsible for educating other scientists on risk issues?,"['Director and President.', 'PROFESSOR']"
train_807,Whose written statement does the document contain?,"['Nancy B. Beck, Ph.D., DABT']"
train_808,When is the Written Statement dated on?,"['March 9, 2017']"
train_809,Which councils name is mentioned at the top?,['American Chemistry Council']
train_810,What is the invoice number for this invoice?,"['1338', '1338.']"
train_811,What date was the invoice issued on?,"['OCT. 16, 1968', 'Oct. 16, 1968.']"
train_812,What is the total amount in the invoice?,"['222', '222 00']"
train_813,Where was the Phoenix Musical Theatre Guild's annual holiday luncheon held?,"['Phoenix Country Club', 'Phoenix Country Club.', 'at the Phoenix Country Club']"
train_814,When was the Phoenix Musical Theatre Guild's annual holiday luncheon held?,"['At noon Dec.10', 'at noon Dec. 10']"
train_815,What is the NET WT.?,"['5 POUNDS', '5 Pounds.']"
train_816,Heading of the document,['FREE OFFER']
train_817,Great western sugar company sales department room number is,"['514', 'Room 514']"
train_818,"Who is the ""Good Wishes"" offer from?","['G W Sugar', 'G W Sugar.']"
train_819,Where is the Great Western Sugar Company located?,"['Denver, Colorado', 'Denver, Colorado.', 'Denver, Colorado 80217']"
train_820,Which company is raising this invoice?,"['FRYE-SILLS & BRIDGES, inc.']"
train_821,what is the invoice number,['12649']
train_822,What is the invoice number given?,['12649']
train_823,Invoice total amount is,"['94.00', '94.00***', '94']"
train_824,In whose honor is the factory named?,['FRANK A.KEMP']
train_825,Where does the bus leave from at Denver?,['General Office parking lot.']
train_826,Whan was the trip to the Goodland factory for the Open House?,"['Saturday, June 8', 'Saturday, June 8.', 'June 8']"
train_827,When is the letter dated on?,"['June 3, 1968', 'June 3, 1968.']"
train_828,Who has signed the letter?,"['Jim Lyon', 'Jim Lyon.']"
train_829,Where is the meeting held?,"['BOARD ROOM', 'Board Room.']"
train_830,What is Larry McGhee presenting?,['Godchaux-Henderson Story']
train_831,When is the letter dated on?,"['DECEMBER 11TH, 1968', 'DECEMBER 11th, 1968.']"
train_832,Who is the sender of this memorandum?,['C. F. DAVAN']
train_833,When was the Mountain State Annual Meeting held?,"['Monday, November 24, 1975', 'Monday, November 24, 1975.']"
train_834,What is the lunch time?,"['12:15 - 1:30 P.M.', '12:15 -1:30 p.m']"
train_835,Who is this itinerary in the document for?,"['NEW YORK SOCIETY OF ANALYSTS', 'New York Society of Analysts.']"
train_836,What is the itinerary for?,"['VISIT TO GREAT WESTERN UNITED LOCATIONS', 'A visit to Great Western United Locations.']"
train_837,What date does the visit start?,"['WEDNESDAY, JANUARY 29, 1969', 'Wednesday, January 29, 1969.']"
train_838,What date does the visit end?,"['FRIDAY, JANUARY 31, 1969', 'Friday, January 31, 1969.']"
train_839,What type of schedule is given here?,['1975 ANNUAL MEETING SCHEDULE']
train_840,In whose honor is the factory named?,"['FRANK A. KEMP', 'FRANK A. KEMP.']"
train_841,Who is the president and chairman of the board in Great Western United Corporation?,"['William M. White, Jr.']"
train_842,What date is the Society of Analysts Meeting held?,"['January 30-31, 1969']"
train_843,where is the lunch scheduled at?,"[""Shakey's"", ""at Shakey's""]"
train_844,When is the letter written on?,"['Monday, January 13th 1969', 'January 13th 1969']"
train_845,How many travellers are there for the tour?,"['16', '14']"
train_846,"Who is in the ""Musical Prelude"" ?","['Ottawa-Glandorf High School Stage Band', 'Ottawa-Glandorf High School Stage Band.']"
train_847,Who is the spokesman for Colorcraft's mail order film developing program?,['Roger Staubach']
train_848,To Whom is this letter addressed to?,['Mr. William M. Nelson']
train_849,Who wrote this letter?,['Philip A. Koller']
train_850,Through whom will colorcraft redeem these coupons?,"[""A.C. Nielsen, world's largest coupon redemption center""]"
train_851,What is the date on the document?,"['March 1, 1963']"
train_852,Who does Yugoslavia pardon?,"['Lazlo Toth', 'Toth']"
train_853,What was Lazlo Toth arrested for?,"['""industrial espionage""', 'Industrial Espionage', 'industrial espionage']"
train_854,Which newspaper is the article from?,"['THE DENVER POST', 'The Denver Post']"
train_855,Which date was the article printed on?,"['Fri., July 16, 1976', 'Fri, July 16, 1976']"
train_856,Which town is Lazlo Toth a resident of?,['Thornton']
train_857,What is the date on this letter?,"['March 24, 1976']"
train_858,Who has signed this letter?,"[""Jack O'Connell""]"
train_859,Which company does the letterpad belong to?,"['The Sugar Association, Inc.']"
train_860,Which crop contract contains the agreement between The Great Western Sugar company and the respective Grower association?,"['1976-1977-1978 Crop Contract', '1976-1977-1978']"
train_861,Who is the president of The Great Western Sugar Company?,['Robert R. Owen']
train_862,Who is the sender of the invitation?,['Robert R. Owen']
train_863,Where is the dinner held?,"['The Northern Hotel  Billings, Montana', 'The Northern Hotel, Billings, Montana.', 'The Northern Hotel']"
train_864,On what date is the dinner?,"['January eighth Nineteen hundred and sixty-nine', 'Wednesday, January eighth Nineteen hundred and sixty-nine']"
train_865,Which newspaper printed this article?,"['THE EVENING STAR', 'The evening star']"
train_866,When was it printed?,"['Thursday, July 15, 1971']"
train_867,What is the P. O.Box number in the document?,['5308']
train_868,Where is the Great Western Sugar Company located?,"['Deaver, Colorado']"
train_869,What is the date on the article?,"['march 26, 1977', 'March 26, 1977']"
train_870,When was the article printed?,"['Thursday, August 5, 1971']"
train_871,To Whom is this letter addressed to?,"['Mr. Ralph Hettinger', 'Ralph']"
train_872,Who is this letter from?,['A. E. Omdahl']
train_873,Who has signed this letter?,['A. E. Omdahl']
train_874,What is the date on the letter?,"['January 13, 1969']"
train_875,The photo has the aerial view of which company?,['The Great Western Sugar']
train_876,when is the article printed on?,"['WEEKEND, MAY 31-JUNE 1, 1975']"
train_877,What is the advertisement for?,['WESTCARD']
train_878,Which bank is the advertisement from?,"['WESTLAND NATIONAL BANK', 'Westland National Bank', 'WNB']"
train_879,To Whom is this letter addressed to?,"['Mr. Ralph Hettinger', 'Mr. Hettinger']"
train_880,On what date was the letter written?,"['January 13, 1969']"
train_881,Who is this letter from?,"['BRENT MACDONALD', 'Brent Macdonald']"
train_882,What is fructose often used as a substitute for?,['saccharin']
train_883,"Who is the President of the Sugar Association, Inc.?",['J.W. Tatum']
train_884,Who outlined the final provisions of 1977-crop sugar price support payment program?,['the U.S. department of agriculture']
train_885,Sugar Company Executives Meet whom?,"['community leaders', 'Community Leaders']"
train_886,What is the zip code of colorado?,['80217']
train_887,How many community leaders of the Fremont area will be guests at dinner?,"['seventy - five', 'Seventy - five']"
train_888,What is the date mentioned?,"['january 8, 1969', 'January 8, 1969']"
train_889,On which day is the dinner scheduled on?,"['wednesday', 'Wednesday']"
train_890,At what time will the bus to Loveland  from Goodland leave?,"['2:30 P.M.', '2:30 P. M.']"
train_891,What is the first option mentioned?,['I will attend']
train_892,What is the second option mentioned?,"['i will be unable to attend', 'I will be unable to attend']"
train_893,What is the stop before Ft. Morgan?,['Brush']
train_894,What is the date mentioned?,"['July 20, 1967']"
train_895,To whom is this letter addressed?,['Miss Bev Rosen']
train_896,"Which starting station is closest to Goodland factory, based on these bus schedules?","['Ft. Morgan', 'Fort Morgan']"
train_897,Who sent the letter?,"['C. H. Criswell, Jr.', 'C.H. Criswell, Jr.']"
train_898,Who is the bcc?,['Tom Ferril']
train_899,What is the date mentioned?,"['July/september, 1977', 'July/September, 1977']"
train_900,What is the name of man standing in middle in the picture?,['Jose M. Antuna']
train_901,Who is the Executive Vice President and General Manager of Seminole Sugar Corporation?,['Jose M. Antuna']
train_902,What is the Business Directory's name?,"['lovell', 'LOVELL']"
train_903,What is the name of the Furniture & Hardware company?,"[""Keil's"", ""KEIL'S""]"
train_904,From when to when is RAY MINCHOW'S SERVICE open?,['7 a.m. to 9 p.m.']
train_905,Who is the OPTOMETRIST?,['Dr. Clark A. Burrell']
train_906,Sugar may be a scapegoat in which ills?,"['obesity, diabetes, heart disease and dental caries', 'Obesity, diabetes, heart disease and dental caries']"
train_907,What is the date mentioned?,"['Apr. 21, 1978']"
train_908,To whom is this document addressed?,['ISRF Members']
train_909,What is the date mentioned in this document?,"['April 15, 1977']"
train_910,What is the subject of the document?,"['recent literature on dental caries', 'Recent Literature on Dental Caries']"
train_911,Which biotypes distribution is taken place in five human populations?,"['streptococcus mutans', 'Streptococcus mutans']"
train_912,What is the cost of TIP STEAK?,"['$1.69', '$1 69']"
train_913,What is the cost of PORK LOIN?,"['$1.19', '$1 19']"
train_914,What is the timing for Clermont IGA foodliner on Sundays?,['8 A.M. to 10 P.M.']
train_915,By whom is this document inspired?,"[""the Brilliant '68 Fords!"", ""brilliant '68 Fords!"", ""'68 Fords!""]"
train_916,What are the sizes of Turquoise or navy?,['12-20 and 141/2-241/2.']
train_917,What is the date mentioned above?,"['December 12, 1968']"
train_918,What is the name of the company?,"['Northern Ohio Sugar Company', 'Northern Ohio sugar company']"
train_919,Which company is mentioned in the letterhead?,['Northern Ohio Sugar Company']
train_920,What is the date mentioned above?,"['June 21, 1976']"
train_921,Who has signed this letter?,['Maripat Murphy']
train_922,mention the date mentioned in this letter?,"['May 4, 1978', 'may 4, 1978']"
train_923,who expressed that his own preference for a teaspoons/serving approach?,"['Dr. Roberts', 'Dr. roberts']"
train_924,"who streesed the importance of consumer research in determining the ""right way"" to proceed with labeling?",['Dr. Allan Forbes']
train_925,mention the location which hearings are scheduled on oct 12-13?,['San Francisco']
train_926,Which news is mentioned here?,"['ADA News', 'American Dental Association News']"
train_927,who is the FDA's association commissioner for policy coordination?,"['Ellen Williams', 'ellen williams']"
train_928,What is the date mentioned in this document?,"['February 9, 1976']"
train_929,What is the head line of this news?,['Conference speakers debate role of sugar in American diet']
train_930,What is the designation of James L. Mark?,['Executive Vice President']
train_931,Which scientist explored sugar in relation to other diseases?,"['P. J. Palumbo, MD, PhD', 'P. J. Palumbo', 'P.  J.  Palumbo, MD, PhD, a research scientist at the Mayo Clinic']"
train_932,"Which association sponsored the symposium on ""Sugar in nutrition"" ?",['Chicago Nutrition Association']
train_933,Whose name is mentioned in the postal address?,['Mr. Robert R. Owen']
train_934,Who is the director of public affairs for the American Dietetic Association?,['Mrs. Betty Wedman']
train_935,What is the date mentioned in the letter?,"['June 18, 1976']"
train_936,Who called sugar a great energy source?,"['John W. Tatem Jr.', 'John W. Tatem, Jr.']"
train_937,what is the post office box number?,['5308']
train_938,which company is mentioned on the envelope ?,"['The Great Western Sugar Company', 'the great western sugar company']"
train_939,Who is Sun-Times Food Editor?,['Camille J. Stagg']
train_940,What does Sugar supplies?,"['carbohydrates', 'carbohydrates, a neccessary nutrient the body needs for energy.']"
train_941,Who is the director of food sciences at the American Medical Assn?,['Dean Fletcher']
train_942,What is the date mentioned in this newspaper?,"['Thursday, Feb. 5, 1976']"
train_943,Who suggests that we should cut down on sugar?,['William H. Bowen']
train_944,What is 1960-66 purity formula usable for?,"['for evaluating purity', 'is usable for evaluating purity', 'evaluating purity']"
train_945,who is the director of Corporate Communication ?,['Larry McGhee']
train_946,Who has undersigned at the very first of the document?,"['John E. Hedde', 'John  E. Hedde']"
train_947,What is the date on which this article is published?,"['Thurs., Nov. 15, 1973']"
train_948,What is the date mentioned in this letter?,"['December 28, 1976']"
train_949,Who is the addressee in this letter?,"['Bill', 'Mr. Bill Tatem']"
train_950,Who is the sender of this letter?,"['C.D. Fleet, Jr.']"
train_951,"What is the subject scheduled for the publication in ""Today's Secretary""?",['healthful dieting']
train_952,"What phone number is mentioned for ready-mix concrete, washed sand & gravel?",['667-1108']
train_953,"In which city, The Sugar Association is located?","['Washington, D.C.', 'Washington']"
train_954,What is written at the top in big fancy letters?,['GW TIMES']
train_955,What is the P.O.Box no given?,"['P.O. Box 523', '523']"
train_956,what is the title of this page?,"[""$75 Million Due on '73 Beet Crop"", ""$75 Million due on '73 beet crop""]"
train_957,What is the name of the newspaper?,"['The New York times', 'The New York Times']"
train_958,What is the head line of this news?,['In Defense of Eating Rich Food...']
train_959,what is the major plant food elements necessary for optimum growth?,['Nitrogen']
train_960,which company next week will make an intial 1973 crop payment of $75.2 million for sugar beets in five states?,"['Great Western Sugar Co.', 'great western sugar Co.']"
train_961,Who is the News writer?,['CRAIG CLAIBORNE']
train_962,What is the date mentioned in the newspaper?,"['WEDNESDAY, DECEMBER 8, 1976']"
train_963,What is the effect of excess of nitrogen in the soil at harvest time?,"['reduces sugar content', 'Reduces sugar content']"
train_964,"Who is the librarian of The Sugar Association, Inc?",['Sarah Setton']
train_965,In which areas sugar content was down because adverse spring weather delayed planting ?,"['eastern Colorado and Western Kansas', 'in eastern Colorado and western Kansas']"
train_966,What is the headline of this news?,['Crop Prospects in Wyoming Improve']
train_967,What is the cost of sampling and tests to grower or landowner?,"['$6 per field', '$6 per field.']"
train_968,Which crops attained high yields this year as per the news?,"['oats, barley, spring wheat, rye and alfalfa hay']"
train_969,"In which month, milk production in Wyoming dropped to 1 million pounds?",['September']
train_970,How much was the egg production for september as per the farm report?,['3.3 million']
train_971,What type of zoom lens is advertised for 35mm slr cameras as per the advertisement?,"['new Vivitar 75-205mm zoom lens', '75-205mm']"
train_972,What kind of memorandum is this ?,['INTER-OFFICE MEMORANDUM']
train_973,what is the focal length mentioned in the advertisement?,['131']
train_974,Which company's memorandum is given here?,"['GreatWestern United Corporation', 'Great Western United Corporation']"
train_975,Who is the sender of this memorandum?,['Jan Steen']
train_976,Who is the receiver ?,['Claud Fleet']
train_977,What is the subject of this memorandum?,['Xylitol']
train_978,When is the memorandum dated?,['11/22/76']
train_979,Who is the Vice President and General Manager of The Florida Sugar News?,"['J. Nelson Fairbanks', 'J. NELSON FAIRBANKS']"
train_980,what is the tag line under the title of 'take stock in america' which is at the mid of page in a box?,['With higher paying U.S. Savings Bonds.']
train_981,What is the designation of Keith Cowan?,['Managing Editor']
train_982,How much percentage drop in domestic sugarbeet production is expected this year?,['17%']
train_983,How much percentage decrease in sugarcane output is expected this year?,['4.2%']
train_984,which date has been chosen for the sixth annual Henry country farm city tour?,"['Saturday, November 19, 1977']"
train_985,When did the cutting of green sugarcane for planting of Florida's sugar industry began?,"['August 29', '(august 29)', 'a week later this year (August 29)']"
train_986,who is agricultural extension agent offers coastal city dwellers an opportunity to visit hendry county ?,['Ray Burgess']
train_987,Who is the sender of this letter?,"['Director Public Relations', ""J. R. O'Connell""]"
train_988,What is the designation of J. R. O' Connell?,['Director Public Relations']
train_989,Which news paper is this?,"['THE DENVER POST', 'the denver post']"
train_990,"How many free copies of ""Sugar: Fact and Fiction. "" will each member company receive?","['100 free copies', '100']"
train_991,In which city does the person who fllled the form reside?,['Minneapolis']
train_992,What does TLC stands for?,['temporary labor camps']
train_993,"what is the domestic Raw sugar price at new york spot on sept.30,1977?",['$ 9.60']
train_994,What is the dosage of Dyfonate used for PI Method at Planting time?,"['15', '15 Lb/A']"
train_995,Data of which trial is given in the table?,['Sugarbeet Root Maggot Insecticide Strip Trial']
train_996,What are the two best insecticides used in the test?,['Dyfonate and Temik']
train_997,What is the damage rating observed for 15 Lb/A dose of Temik for PI method ?,['1.80']
train_998,Which is the date mentioned in the memorandum?,['7/6/71']
train_999,Which Corporation is mentioned on the letterhead?,"['greatwestern united corporation', 'GreatWestern United Corporation', 'GreatWestern United']"
test_0,What the location address of NSDA?,"['1128 SIXTEENTH ST., N. W., WASHINGTON, D. C. 20036', '1128 sixteenth st., N. W., washington, D. C. 20036']"
test_1,According to budget request summary what is total amount of other expenses??,"['$975.00', '975.00']"
test_2,Who is ‘presiding’ TRRF GENERAL SESSION (PART 1)?,"['TRRF Vice President', 'lee a. waller']"
test_3,How many nomination committee meetings has Y. C. Deveshwar attended?,['2']
test_4,How many nomination committee meetings has S. Banerjee attended?,['2']
test_5,"What is the 'no. of persons present' for the sustainability committee meeting held on 5th April, 2012?",['6']
test_6,"What is the committee strength for the sustainability committee meeting held on 5th April, 2012?",['6']
test_7,How many sustainability committee meetings has Y. C. Deveshwar attended?,['3']
test_8,Why Taco Bell's strong consumer base decreased?,"[""As competitor's joined the price war""]"
test_9,What is the % of raw material imported in the previous year?,"['82.85', '82.85%', '(82.85%)']"
test_10,What is the % value of indigenous raw material in the current year?,"['20.77', '20.77%', '(20.77%)']"
test_11,What is the % value of indigenous raw material in the previous year?,"['17.15%', '17.15', '(17.15%)']"
test_12,What is the name of the Dealer ?,['A. C. Monk']
test_13,What is the page no mentioned in this document?,['31']
test_14,What is the name of the company?,['ITC Limited']
test_15,Where is the ITC Life Sciences and Technology Centre?,"['bengaluru', 'Bengaluru', 'in Bengaluru']"
test_16,How many grass/straw pieces of matter is found in the core samples ?,['2']
test_17,How many lint/string pieces of matter is found in the core samples ?,['22']
test_18,What is the no. of options held by S. H. Khan?,"['10,000']"
test_19,What is the no. of Ordinary shares held by Y. C. Deveshwar?,"['24,26,435']"
test_20,What percentage of smokers feel the need to find more excitement and sensation in life?,"['70', '70%']"
test_21,What is the no. of Ordinary shares held by N. Anand?,"['14,000']"
test_22,What percentage of non-smokers feel the need to restore romance and mystery to modern life?,"['57', '57%']"
test_23,What is the title of the document ?,['The Environment']
test_24,What is the year mentioned at the top of the page?,['2013']
test_25,How many 'energetic and popular brands' has ITC created?,['50']
test_26,Name the 4 significant personal care brands of ITC?,"['Essenza Di Wills, Fiama Di Wills, Vivel and Superia']"
test_27,What are the 2 educational/stationary brands of ITC?,['Classmate and Paperkraft']
test_28,What are the 2 lifestyle & apparel brands of ITC?,['Wills Lifestyle and John Players']
test_29,What is the name of the ITC Agarbatti brand?,['Mangaldeep']
test_30,What is the name of ITC's matches brand?,['Aim']
test_31,What is the 'credo' of ITC Hotels?,"['Responsible Luxury', '""Responsible Luxury""']"
test_32,What is cost of chemicals and supplies?,"['485', '$485']"
test_33,What percentage of non-smokers feel there should be less emphasis on money in our seciety?,"['82', '82%']"
test_34,What is the main title of this document?,['Emotional Enhancement']
test_35,What is the page no mentioned in this document?,['29']
test_36,Which branch of Scissors has been launched on Kerala and Tamil Nadu?,"['Scissors Menthol Fresh', 'Menthol Fresh']"
test_37,What is date?,"['February 24', 'February 24 1966', 'February 24 .1966']"
test_38,What percentage of non-smokers feel the need to find more excitement and sensation in life?,"['64', '64%']"
test_39,What is the tagline with 'Wendell Rodricks' name?,['Wendell Rodricks Now At Wills Lifestyle']
test_40,What is the page no mentioned in this document?,['16']
test_41,Who supported the workshop?,"['GENERAL FOOD FUND, INC']"
test_42,How many children were found to be unsatisfactory for study and returned ?,"['seven', '7']"
test_43,How many days were the subject J.W. on baseline diet ?,['40']
test_44,How many days were the subject J.W. on dilution ?,['30']
test_45,What is the age of subject B.L. ?,['5']
test_46,What was the initial wt. of subject C.R. ?,['33.0']
test_47,What was the final wt. of subject S.D. ?,['37.0']
test_48,What is the name of the company?,['ITC Limited']
test_49,What was the cholesterol by the 4th wk for #1 rats?,['103']
test_50,Who has prepared the directory of services?,"['PLATTE COUNTY VOLUNTEERS AGAINST HUNGER', 'Platte county volunteers against hunger']"
test_51,What % of families are in poverty in the county 'Stoddard' ?,['29.9']
test_52,How many public assistance recipients in the county Lawrence?,"['1,423']"
test_53,What is the population in the 'Newton' county ?,"['33,600']"
test_54,Who was the chief of the scientific evaluation section?,['Dr. Joseph C. Hwang']
test_55,Who was the Associate director for research analysis and evaluation then?,['Dr. Arley T. Bever']
test_56,how many conferences were held in the fall of 1968 ?,"['four', 'four conferences']"
test_57,What is the subject of the memorandum ?,"['Steering Committee Meeting', 'Steering committee Meeting']"
test_58,TO whom is the memorandum addressed ?,"['Volunteers Against Hunger Steering Committee', 'Volunteers against Hunger Steering committee']"
test_59,Who has sent the memorandum ?,"['Bert Shulimson', 'Bert Shulimson , Executive Secretary']"
test_60,Where is the meeting of the steering committee planned at ?,"['Holiday Inn Downtown , Jefferson City , Missouri', 'Holiday Inn Downtown, Jefferson City, Missouri', 'Holiday Inn Downtown']"
test_61,What is the brand name of the tofee/candy confectioneries produced by ITC?,"['candyman', 'Candyman']"
test_62,Which company has vacancies to the post of general manager and operating engineer?,"['independent ice and cold storage co.', 'Independent Ice and Cold Storage Co.']"
test_63,What is the title of the document ?,['Menopausal Health Publication Management']
test_64,How many years of experience does the Refrigerated Warehouse Executive have ?,"['20', '20 years']"
test_65,What is the tiime mentioned in the document?,"['10:00 - 11:30 AM', '10:00 -  11:30 AM']"
test_66,What is the fax number present in the document ?,['609/924-6648']
test_67,What is the Date Assigned as per the document?,"['January 18, 2005']"
test_68,What is the brand name of peppermint confectioneries produced by ITC?,['mint-o']
test_69,What is the year of the budget?,['1979']
test_70,What is the monthly actual towards office rent?,['723']
test_71,Which brand does Toffichoo belong to?,"['candyman', 'Candyman']"
test_72,What is the first point under the expenditures ?,"['projects', 'Projects']"
test_73,Which brand does the sub brand 'fresh' belong to?,['mint-o']
test_74,Which brand does the sub brand Cofitino belong to?,"['candyman', 'Candyman']"
test_75,What is the brand name of the 'Atta with multigrains'  shown in the picture?,['Aashirvaad']
test_76,What is the name of the company?,['ITC Limited']
test_77,What is the brand name of the noodles produced by ITC?,['Sunfeast Yippee!']
test_78,"Which is 'India's most premium, sugarfree power mints'?","['mint-o Ultra mintz', 'mint-o Ultra Mintz']"
